Description,Quantity,Cost Per Unit,Cost,Link,$38.86
Xiao ESP32 - C3,1,$9.21,$9.21,https://www.aliexpress.us/item/3256805951491414.html?spm=a2g0o.productlist.main.21.16d478456XPpem&algo_pvid=195f1408-4762-4b5f-b8c2-6ea466a4b1b5&algo_exp_id=195f1408-4762-4b5f-b8c2-6ea466a4b1b5-20&pdp_ext_f=%7B%22order%22%3A%22281%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.21%219.21%21%21%2162.13%2162.13%21%402102f0c917820087073496406eebf2%2112000052210886097%21sea%21US%217611495303%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeeed25b8%3Bm03_new_user%3A-29895&curPageLogUid=xbdbaHai5UKW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006137806166%7C_p_origin_prod%3A,
JST-PH 2-pin - 10pc,1,$1.72,$1.72,https://www.aliexpress.us/item/3256805806049470.html?spm=a2g0o.detail.pcDetailBottomMoreOtherSeller.3.528d13TP13TPjI&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=f2434e65-9a33-4198-837e-86ac18a76f24&_t=gps-id%3ApcDetailBottomMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3Af2434e65-9a33-4198-837e-86ac18a76f24%2Ctpp_buckets%3A668%232846%238111%231996&isseo=y&pdp_ext_f=%7B%22order%22%3A%22811%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%211.72%211.62%21%21%2111.55%2110.86%21%40212e508f17815576185936725e2c4b%2112000035212195465%21rec%21US%217611495303%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3Aeeed25b8%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailBottomMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005005992364222%7C_p_origin_prod%3A,
Cherry MX Switches - 1opc,1,$7.09,$7.09,https://www.aliexpress.us/item/3256808625016631.html?spm=a2g0o.productlist.main.17.560f2464wGrOj0&algo_pvid=6ef9b5be-b100-4e3d-aed5-040bfecfcb32&algo_exp_id=6ef9b5be-b100-4e3d-aed5-040bfecfcb32-16&pdp_ext_f=%7B%22order%22%3A%2236%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.09%216.62%21%21%217.09%216.62%21%40212a6e2917820079946955457ed9b3%2112000046764988229%21sea%21US%217611495303%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeeed25b8%3Bm03_new_user%3A-29895&curPageLogUid=Cu0aGCnkJ8By&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008811331383%7C_p_origin_prod%3A#nav-specification,
Clear Keycaps Cherry MX - 10pc,1,$2.47,$2.47,https://www.aliexpress.us/item/3256812351549730.html?spm=a2g0o.productlist.main.38.5c01267e5mKuhl&algo_pvid=c6e2a599-9e7e-47f2-b221-963da7a26b01&algo_exp_id=c6e2a599-9e7e-47f2-b221-963da7a26b01-37&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.47%212.47%21%21%2116.66%2116.66%21%40212e520d17820081676906438ef63d%2112000058624501210%21sea%21US%217611495303%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeeed25b8%3Bm03_new_user%3A-29895&curPageLogUid=wpnuV8YkgPj0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012537864482%7C_p_origin_prod%3A,
LiPo Battery 3.7V 500mAh,1,$17.37,$17.37,https://www.aliexpress.us/item/3256809549753946.html?spm=a2g0o.productlist.main.16.665637a055F7VI&algo_pvid=0c5c75b0-8be7-4285-af89-6e369c7c6daa&aem_p4p_detail=202606201923411756155511290360001890695&algo_exp_id=0c5c75b0-8be7-4285-af89-6e369c7c6daa-15&pdp_ext_f=%7B%22order%22%3A%22383%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2117.37%217.99%21%21%21117.22%2153.92%21%402140c1e917820086208473768ed7c3%2112000049991282150%21sea%21US%217611495303%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeeed25b8%3Bm03_new_user%3A-29895&curPageLogUid=srB9LBzYJm11&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009736068698%7C_p_origin_prod%3A&search_p4p_id=202606201923411756155511290360001890695_4,
M2 Screws - 50pc,1,$1.00,$1.00,https://www.aliexpress.com/item/32810852732.html?spm=a2g0o.productlist.main.8.31884b3fnZXtPn&aem_p4p_detail=20260620194854656829763935140001907143&algo_pvid=21ec7a9f-758d-49ac-b3c7-874b0ea085e7&pdp_ext_f=%7B%22order%22%3A%2245671%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32810852732%7C_p_origin_prod%3A&search_p4p_id=20260620194854656829763935140001907143_2&gatewayAdapt=usa2glo4itemAdapt,
